,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1339.41,PPW1339,C3,TR,2554.1,QUEAGR,2.64
PPW1339.42,PPW1339,C3,TR,2554.2,QUEAGR,1.46
PPW1339.44,PPW1339,C3,TR,2556,QUEAGR,3.15
PPW1339.46,PPW1339,C3,TR,2556.1,QUEAGR,3.42
PPW1339.31,PPW1339,C1,TR,2551,QUEDOU,28.5
PPW1339.32,PPW1339,C1,TR,2551.1,QUEDOU,22.8
PPW1339.45,PPW1339,D3,TR,2558,QUEDOU,28.8
PPW1339.49,PPW1339,D2,TR,2561,QUEDOU,33.1
PPW1339.50,PPW1339,D1,TR,2562,QUEDOU,20
PPW1339.18,PPW1339,B4,TR,2541,UMBCAL,1.81
PPW1340.57,PPW1340,A2,TR,1621,ARBMEN,6.49
PPW1340.194,PPW1340,B1,TR,1658,ARBMEN,5.5
PPW1340.200,PPW1340,B2,TR,1649,ARBMEN,2.73
PPW1340.202,PPW1340,B2,TR,1651,ARBMEN,9.6
PPW1340.216,PPW1340,B2,TR,1645,ARBMEN,7.3
PPW1340.506,PPW1340,D1,TR,1709,NOTDEN,9.4
